@relation 0_credit-data_v2

@attribute clientid numeric
@attribute income numeric
@attribute age numeric
@attribute loan numeric
@attribute default numeric

@data
1,66155.925095,59.017015,8106.532131,0
2,34415.153966,48.117153,6564.745018,0
3,57317.170063,63.108049,8020.953296,0
4,42709.534201,45.751972,6103.64226,0
5,66952.688845,18.584336,8770.099235,1
6,24904.06414,57.471607,15.498598,0
7,48430.359613,26.809132,5722.581981,0
8,24500.141984,32.897548,2971.00331,1
9,40654.892537,55.496853,4755.82528,0
10,25075.872771,39.776378,1409.230371,0
11,64131.415372,25.679575,4351.028971,0
12,59436.847123,60.471936,9254.244538,0
13,61050.346079,26.355044,5893.264659,0
14,27267.995458,61.576776,4759.787581,0
15,63061.960174,39.201553,1850.369377,0
16,50501.726689,-28.218361,3977.287432,0
17,43548.654711,39.57453,3935.544453,0
18,43378.175194,60.848318,3277.737553,0
19,20542.365073,61.690571,3157.44229,0
20,58887.357549,26.076093,4965.516066,0
21,23000.784002,31.761354,1148.118057,0
22,32197.620701,-52.42328,4244.057136,0
23,23329.319414,48.576975,222.622299,0
24,27845.800894,51.970624,4959.921226,0
25,65301.984029,48.840922,5465.267886,0
26,47451.630123,27.031741,5361.282716,0
27,63287.038908,-36.496976,9595.286289,0
28,45727.45987,55.839922,6376.822949,0
29,59417.805406,?,2082.625938,0
30,58842.891308,54.510948,10871.18679,0
31,48528.852796,?,6155.78467,0
32,23526.302555,?,2862.010139,0
33,67252.900607,38.131907,4221.303157,0
34,58886.851294,38.661504,7271.552032,0
35,57584.97379,36.672021,1728.423755,0
36,26289.972307,20.666779,341.146966,0
37,25952.381471,58.185017,2109.200772,0
38,32464.09188,50.225006,4326.705073,0
39,60921.063104,18.840526,968.836383,0
40,26578.536693,32.676044,3489.843136,1
41,66260.121558,32.896693,7035.589107,0
42,58787.45524,62.641303,4167.786724,0
43,62545.708711,49.040433,4362.905812,0
44,24381.953448,25.252331,4227.018986,1
45,67852.105869,47.321899,5730.588251,0
46,41725.612856,18.130038,1185.2147,0
47,41896.971599,47.250731,4892.209734,0
48,44379.729654,50.088671,1814.335082,0
49,28416.899375,57.928719,1788.973736,0
50,68427.163111,46.30824,1658.070233,0
51,35975.79493,35.708652,6610.366179,0
52,57596.354098,29.246057,3344.384401,0
53,29681.883093,54.959287,1745.871674,0
54,51656.938675,47.715064,7158.13906,0
55,24912.842682,49.366371,267.696299,0
56,47761.824068,50.098159,5549.799128,0
57,22248.179202,23.443624,4364.975281,1
58,29724.476875,31.968526,3075.345728,0
59,52143.823674,20.837634,2393.099679,0
60,56577.722861,36.847801,5947.421721,0
61,37660.770717,53.74506,2129.597165,0
62,37403.795396,47.944122,2044.047045,0
63,31652.693735,62.023802,5151.070445,0
64,32727.700733,34.474871,1087.919364,0
65,69078.604812,25.107524,4076.583914,0
66,40622.194873,41.527189,4949.902333,0
67,37521.017173,60.541077,8.012076,0
68,30735.808499,22.242098,5946.822297,1
69,24857.694882,21.598676,2692.163459,0
70,33180.201594,49.565977,4621.997742,0
71,66628.260089,52.383873,5992.885092,0
72,38564.93213,21.216492,5604.16999,1
73,33704.508496,33.183106,5898.000893,1
74,57018.484832,44.825715,3507.252166,0
75,40526.902785,28.606376,2119.984911,0
76,50827.980523,51.012937,1765.983337,0
77,40775.811595,60.288757,1922.610022,0
78,55467.151413,56.851331,9226.902041,0
79,38789.029389,61.229285,7650.65521,0
80,58074.840128,50.074924,7388.02444,0
81,57814.106338,43.830923,7252.120004,0
82,45190.729182,53.83952,7893.559889,0
83,36801.90718,43.027943,5406.344926,0
84,68811.779416,24.038265,4211.302611,0
85,30483.295529,33.656441,4514.00978,1
86,44930.394173,19.777386,7708.315625,1
87,43671.456554,25.585037,8066.697865,1
88,27612.914802,19.212448,1513.6242,0
89,53607.326925,27.561712,2378.766173,0
90,33036.68312,25.063367,958.979822,0
91,64275.834889,61.440913,7520.032053,0
92,30673.837503,59.333837,383.107569,0
93,58793.614309,56.49441,4391.981054,0
94,21053.490618,63.379408,754.601882,0
95,42095.422202,55.366188,1183.704568,0
96,50360.678793,28.839542,4217.166823,0
97,41970.724477,63.169914,1622.317392,0
98,51663.410179,63.73571,4147.888585,0
99,53601.812436,20.240621,9601.375482,1
100,43439.988727,24.17947,6879.306007,1
101,51461.053167,36.651559,7292.264177,0
102,41285.172307,47.976308,2313.825005,0
103,62895.74977,49.922604,2001.281514,0
104,57296.160823,25.708482,10601.082783,1
105,60844.092495,45.655205,12072.255758,0
106,47634.549548,44.294871,141.703818,0
107,23998.323693,29.910033,3928.303909,1
108,63391.615967,34.739268,190.889275,0
109,21534.551219,44.315038,228.335387,0
110,28255.652513,35.514017,2109.242798,0
111,36496.133932,19.515716,165.50609,0
112,41631.666296,53.047655,106.090747,0
113,68762.416665,20.991243,2796.752303,0
114,30075.264925,29.235057,2628.577923,0
115,41302.674175,38.660619,1379.913124,0
116,39703.759428,47.468741,2403.478216,0
117,63161.092035,59.675115,804.092441,0
118,63062.142096,26.585778,56.166164,0
119,34507.527906,38.587783,1793.750255,0
120,27954.707765,29.904522,1627.041405,0
121,37369.38206,35.341949,3783.601151,0
122,43912.06274,23.821921,7757.136789,1
123,22766.774502,29.325901,1429.401762,0
124,21603.305701,21.375033,178.333871,0
125,61952.906689,18.477425,3635.600589,0
126,36116.365092,22.535884,1494.984568,0
127,26157.777272,22.826938,2295.811656,0
128,26458.383205,59.522987,552.398166,0
129,69156.303774,53.410862,7364.735578,0
130,39441.444764,46.753896,1034.758838,0
131,60119.06581,45.076969,1810.96046,0
132,55613.485461,24.377129,4255.252137,0
133,37049.386236,29.423019,6056.817214,1
134,23122.064925,53.309536,4263.493031,0
135,48790.132434,32.475621,5519.09604,0
136,59132.685156,48.344993,4575.527635,0
137,55305.574827,53.58228,8176.707165,0
138,26037.463644,24.783108,3293.250879,1
139,64899.80503,38.116017,4654.249217,0
140,27089.124317,21.20769,5029.488782,1
141,45341.474637,22.569568,6525.218423,1
142,24865.798075,37.309753,4439.116154,0
143,28239.543205,26.19221,4189.832568,1
144,52730.080502,50.237785,5706.325323,0
145,28982.058149,39.04841,2898.761824,0
146,36221.266007,26.1015,5094.670084,1
147,33551.124372,58.856927,4333.360862,0
148,43891.35597,49.153827,5792.906333,0
149,45148.88572,60.525006,6455.391772,0
150,58481.012161,40.832918,5380.560596,0
151,69579.929211,57.756243,10868.241472,0
152,52743.308565,44.048517,2684.700671,0
153,65635.661529,51.167714,12701.603475,0
154,34559.907035,29.112182,3317.529874,0
155,60218.531527,32.471888,3157.961082,0
156,51689.548539,46.154192,9881.976006,0
157,47541.614335,55.234585,1611.216597,0
158,62905.793025,27.909652,11423.936295,1
159,65632.604579,47.105767,12498.040454,0
160,31847.853719,41.416336,2913.769931,0
161,27947.440282,58.348455,5514.117421,0
162,62246.72725,31.081885,406.720769,0
163,40154.688566,60.529683,6013.152874,0
164,58627.554884,33.115653,1215.65256,0
165,33441.051065,27.873486,5282.72856,1
166,55603.786795,43.839473,1411.13008,0
167,31046.378966,29.297399,4907.674084,1
168,44708.099873,21.108774,2390.850597,0
169,23340.270696,42.828615,2707.760939,0
170,24830.181971,28.970245,2046.68505,0
171,31422.747385,53.89808,1686.835902,0
172,60477.233846,60.402106,10711.700896,0
173,26039.02149,49.390402,2056.752382,0
174,36186.848073,50.506752,1130.735265,0
175,39772.118726,43.725448,5492.893689,0
176,34730.164071,63.376233,818.508442,0
177,23118.483315,57.58105,1746.936559,0
178,50072.847626,33.015273,8088.568019,1
179,67465.062386,23.611054,1802.616994,0
180,38625.63201,19.630038,5836.563381,1
181,45227.482826,26.723162,5521.507405,1
182,64901.897735,44.938816,9589.833525,0
183,40543.913543,51.460876,6507.850191,0
184,27793.266722,60.516908,382.248904,0
185,61167.77482,20.583631,10396.618148,1
186,64619.66462,26.042093,9704.782409,1
187,37593.757866,54.010415,7274.325628,0
188,35032.649599,56.724626,135.931684,0
189,58364.464976,55.596549,5809.899,0
190,56945.810413,45.554021,6388.369826,0
191,27204.848551,29.072097,3827.893915,1
192,21648.261026,52.58704,3558.527262,0
193,31077.856889,44.221517,4452.330679,0
194,42522.922407,53.868651,6790.850263,0
195,31769.247719,44.774381,1148.221436,0
196,35556.779911,23.777433,6361.973438,1
197,52908.824238,53.695636,9841.080553,0
198,35045.131405,28.653284,2382.466772,0
199,44488.164485,33.431205,2751.088843,0
200,41679.937118,53.669908,395.000775,0
201,54619.947197,52.424422,10780.271882,0
202,38053.623126,26.20688,6110.572792,1
203,64718.661776,37.276492,1485.079935,0
204,43159.08497,62.442097,4350.019897,0
205,29445.510502,28.445677,1758.881865,0
206,25817.389884,37.94548,4115.484719,0
207,66356.856741,61.524849,10725.484728,0
208,56676.157999,46.67897,2278.554349,0
209,61000.042774,48.62361,2160.784908,0
210,58906.251686,42.049342,9290.575345,0
211,49589.153721,42.775256,2627.405488,0
212,40141.603542,56.151418,845.366371,0
213,31659.728212,31.928154,858.511388,0
214,62658.221629,25.46316,3343.367161,0
215,39264.483498,37.027753,5255.788283,0
216,46643.126481,53.405083,6440.861434,0
217,30515.372118,20.161878,415.240435,0
218,65077.322028,50.979135,11061.811895,0
219,60871.869004,61.260144,4844.172224,0
220,25011.103896,36.21519,3834.042782,0
221,68407.185508,60.937582,597.944066,0
222,43727.439344,55.192599,1170.556334,0
